clean_text,label,sentiment
mazhab ke naam par elect jeetna koi bada kaarnama nahi hota messag,0,negative
dhol serious one best post seen bravo nd respect,2,neutral
may allah bless us strong imaan taqwa pieti pure heart good manner ya allah give eye se,2,neutral
chiller man give big jhtka nsecoloscam made laugh stock,1,positive
u thing ppl u ador u want s transact s give take u s u r su,1,positive
apn desh ke logo ko thug kar chala sanjeev kapoor world cup dekn,0,negative
ab ye btaega iss pucho tere jiyn b mla hai usm se gina hindu mla kaunsa hai teri muslim awaadi wale gaao,1,positive
haaa lie think buy new pair bc put shit charger minut,1,positive
bhai yeah glass wali admi kon hai jo appki har pic main hota hai,1,positive
mumta bano mhatma ghandhi ki smadhi pe nhi jayegi kyu vhan ghandhi ji ke akhi,1,positive
india modi ji aaan k baad muslim sa,1,positive
boy kiya age hy tmhri girl 17 boy mine love girl m taken boy abhi tmhri umer hi,1,positive
ali 9 btw kisi jhootay maseeha ko maseeha man leni sy qafir nahi ho jata koi k,0,negative
mc hai sala sale lo jyada ghamand hai kuch din ruk sale tera ghamand dur ho jayega,1,positive
pathan 14 ikk toh sarkar job ni de rhi upper se apn india ke log kaam karna nahi chahat,1,positive
han chara ghotal mein bhi laloo ne kitney hi gavahon ki maut ke ghat utar diya,0,negative
good morn papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa,2,neutral
qau pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata karz,1,positive
boi kdo unpract cool sword seen,1,positive
journal k bare bt ki jbhi isko ye cripption ka certif dia gaya h,2,neutral
sir prashant dhawan kohinoor studi iq best teacher current aff,2,neutral
last check mp congress ki sarkar hai law order state subject,1,positive
yeah jo aap hamara roza kharaab karay hain na yeh uss ka notic hay lol allah aap ko aur aap ki famili,1,positive
desh ke gaddaro ke liy 5 saal bahut pain hoge kyoki mota bhai home minist india,1,positive
ekto aap log muskur bhut ho sharmat bhi bhut ho dil karta hi aaplogon ko eid pr bolaun,2,neutral
nice joke tmhare ghaddaron ko danda janay waala hai landay ka istim maal pakra hai ussay,1,positive
antar atma ko bech diya hain jab tak beijjat kark bhagaya nahi jata tab tak nahi hilega lekin rahe,2,neutral
khan sahab apko vote diya taki ap pm bani alhamdulillah ap bani bi pm magar khan sahab ab gabraht ho rahi,1,positive
sir mere c se 22042019 ko rs1180 deduct ho gaya hai kekin branch offic kahta ki mai nahi janta ki k,1,positive
amrann even nice second smh salaam love,1,positive
aapko bahut bahut badhai ho amitshah ji asha kart hain ki aap bhi modi ji ki tarah hi hama,1,positive
would bring great joy hear rendit des ree got ta sayin xoxo,1,positive
mera khayal apki nazron se woh document nehein guzra jis apk papa ne bahir janey keley mushar,1,positive
one one jane virgin narrat knoow straight telenovela right,1,positive
bhai plz bhagwan kre bharat acchi movi ho qki dedepyard jitna,1,positive
wish bro happi birthday mani hit way togeth thankyou give music,2,neutral
apki aik gawahi ne mannat ko pagal saabit kerdia hai watch cheekh tonight 1000 pm arydigit,1,positive
listen first jojo siwa song fan lol,1,positive
sara masla hi band ki wajh se hai yehi fasad ki jar hai ko team nhe chalan ati palyer ka ap men hasd hai,1,positive
sk chetan adarsh abe chutiy tera crimin jaisa ghatiya public stunt nhi kr rha h n jo unnec,0,negative
613 kung hnd ko pa checheck bat ka dm ko mukha ni jungkooki hnd ko maalala na ikaw hahaha,1,positive
babi amaz job today hope feel good wish would hotel room wate yo,2,neutral
dil k khush krni ko ghalib khyal acha ha myth,1,positive
allah jise chahe izaat de r jise chahey zilat dt dua ha allah nawaz shareef ko us k khandan ko r u,1,positive
ngk good one kudo hero offl,2,neutral
sahi hoga sayad tabhi sirf appki channel pe ye dikh raha hai warna kuch bikav media,1,positive
ez1403 ja na pakistani pig dukkar kutta suvar ki mix aulad,0,negative
ais barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h ku6 khyal kar tera intzar har koi nahi karega,1,positive
fuck mean apna neech ka band kark rakhna jyada kholn ki jaroorat hani,0,negative
ham tu ak ayena ha tu dikhaya gya dagh chahru ka jis ku bura laga samna sa hat jay love pak armi,1,positive
happi birthday bhai pray baba vishwanath good health bright futur,1,positive
good morn pita ji thank new day pls bless sewa sumrin parmarth bakso ji,1,positive
offici superbbb voic arjun ji u reali mean much salut yuh,2,neutral
absolut right histori independ india inclus secular talk nev,1,positive
thicccccccc xd confirm dare m one wit hahaha,2,neutral
congrat sir lucknow ki shaan bada di aapn veerta aur shaurya ki missal ab aap pesh kariyega jai hind,1,positive
ha ha ha cow mutr peek war guy st,1,positive
modi ke jitn ka asar vipaksh pe nahi padosiyo pe bhi hua hai bokhla gay sare ke sare modi akela,2,neutral
bholi bhayaa ufffff dil jeet liya ap ne love imran bhai mind blow ap ki act hai alla,2,neutral
r4i pori dunya 2019 main tum log abhi bhi 1971 main growup ab kisi ko bhaija sath khud aa jana,1,positive
ne aat hi half centuri kr di thnku bhai itn like ke liy,2,neutral
jansankhya aur atikraman desh ka sabs bada samasya hai beat plastic pollut jai hind,1,positive
obc bhikhari nahi hai aur bhenchod bheemt obc naam ka account bnakar apni maa chuda rah,0,negative
fizakhan pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata,1,positive
pti janab thank veri much short break place may allah protect famili,2,neutral
org chalo g bc inhi c,1,positive
congratul akash bhai aap ko phir se 5 saal ka contract mil gaya keepitup note sorri,2,neutral
husain haqqani sab ap time nikal k mar q nahi jatay dharti py bojh ho tum gaddar besharam,0,negative
noth like fresh hit pepsi day like today,2,neutral
na pehl tu apna photo dp rak phir bark kar kutt ki tarah chal bhag yaha bandhar kahika,0,negative
sir need ur bless 9 wed anniversari wife sonia pranam aap ka ashirwad b,2,neutral
cnbc aka sir ne cnbc ke pahel bol diya tha,1,positive
nxt five year main india chang hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai ye main ni hmare modi sir ka kehna hai,2,neutral
uff kya act bholey ji apki kamaal krdya aisa koi actor hi nai abtk jo charactr k saat,2,neutral
raand congress se v randwa rjd se buri tarah se haara vote denewal ko sadhuwad,1,positive
dvn kalank theatr zafar aap ka hain charact love play epic love stori spoiler pleas,2,neutral
bahut bahut badhai aap jais logo ke karan hi modi ji ko majboori mili hai isi tarah se,2,neutral
sasti ghatya nashi kar k ye suwar samjhti trah ki bakwa kar k humein sasti public mil jaegi,0,negative
proud part brilliant commerci releas 1996 wc time great product team includ,2,neutral
haha overr kisko bolt hain chuuuu pehl yeh pata kar bc ata pata kuchh nahi chale aat hain,0,negative
pogo launch new show kalarikid love enthusiasm littl one saw chhotabheem danc,2,neutral
r k pakistani ais hi 1992 ki rote rhte hain uss time england ne 74 pe kar diya tha allout iss baar bhi wohi umme hai,2,neutral
want see loksabha s ok kanhaiya ji vichaar badleng desh badlega vidhyarthi,2,neutral
wow tum red plain sare pahen na bahut cute lagegi red plain sare sleeveless blous look awasom,1,positive
chaa ihav cheap ak cuz ak s fav weapon u wan battl win u give,2,neutral
day day slogan proven true afghani bhagao mulk bachao,0,negative
wo elect ke liy badha ke btaya tha accpt bar elect commiss media ko bhi bewakoof bnaya h janta ke sath,0,negative
bemaar bhikhari kutta die dub stupid movi hindi wonder peopl tn,1,positive
abp news 5 saal se mon nahi bhara congress ko kost sawal kart ab tweet duwara mazaak uran aar,0,negative
evm hack ka bahana nhi chla pay ab fir ye saath nik slip ka le aay fir bhi ho gyi bye bye evmscand evm,1,positive
dhan dhan satguru tera hi aasra papa g good morn pita g pledgeagainstcorrupt,2,neutral
manmohan singh consid parti presid post ek chuppi hazaar baton se behtar hai uss badhiya udaharan nahi ho sakta,1,positive
one india sabka saath sabka vika sabka visva,2,neutral
ind prothom kolkata campaigncal media sangbad biswa bangla etc eisob chotokhato channel gulo dekho sudhu jai sree ram cholch,1,positive
rohatgi tere maa baap ne bohat badhiya sikhaya hai certif batna sabko ki kaun kiska chamcha,0,negative
miss craze use bas koi kuch galat bold old memori,1,positive
pm mumtaz bano hindu ko dhamki de rahi hai bengal hi nai pure desh hindu ka khoon garam ho chuka,2,neutral
love u much absolut noth insecur bc ur uniqu ur way ok u,2,neutral
ap beti hein apko beshak apni baap ki yaad ati hoo gi allah apko hosla dy pr certain apka baap ek,2,neutral
thank support thank thank strongwitheliza samanthajayz angelmartin00 galiya,2,neutral
rathe han gaand k keed cow meat kliy pehl se bnde convict h yeh log aur jb ban h teri maa ko khilan jaa rha tha,0,negative
proud moment ganjam 83 student odisha aadarsh vidyalaya ganjam score 90,2,neutral
pakvwi 92 wi 10 wicket se jeeta tha ajj 7 wicket se jeet gya world cup hamara hai ye wali chawl koi na,2,neutral
engr sir merey lye bahut khoshi ka maqam hoga agr ap ne muji repli kya love sir,1,positive
love 3000 said ek raat ka 5000 lungi repli newgfkitalsshm,2,neutral
pr ye oopr jo btaya wo surgeri ni h na,1,positive
veri nice tamanna tamanna nice like,2,neutral
apko deputi cm se minist chief kb bnaya ja rhaa h r wait,2,neutral
vbk78 tera pichwada hai bc jb se modi ji jeet hai jali padi hai tabs pichwaad ki jagah muh se hag rahe ho,2,neutral
shahid bahi wahab riaz ki bowl mein experi nahi sirf wide aur ball hi hain,0,negative
isko nikal dia tha world cup 2011 sayad ek banda call p aya bolta h india england australia ni ayga semifin,0,negative
pledgeagainstcorrupt good afternoon guru g bless us give us power sewa,2,neutral
nice see glowup peopl mayhem congrat guy wohooo bbye tire year,2,neutral
jitni media ne bjp ke liy prachar ki hai utna khud bjp ne bhi bjp ke liy nahi surgic strike,2,neutral
siasat rawadari hai samajhta hai wo roza nahi rahta iftari sam,2,neutral
patrag sab pahel tere gahr kanon lago kr kiyo ke teri faim pr tera kabo nahi,1,positive
india arjun ji jai punrasar baba ki jai bikan rajasthan,1,positive
doc saab bahut badhiya video banaya andher se much better hai,1,positive
sari shairi tassali aur dilasay pay hi munhasir hoti hai warna shairi kyun karay koi agar pas ho kuch,2,neutral
om gandhi ko ham isliy rastrapita mant hai kyu ki wo ahinsa vadi ye nahi hote aja,2,neutral
wrong love soti 2 naa,2,neutral
samaj mai ye nahi aaraha ki kyun halat mai sudhaar nahi ho raha hai kyun karyawahi nahi ki ja rahi road per,2,neutral
usko toh kejriw ne khud reject kar diya tha educ minist toh kejriw khud bana sakta tha raj,0,negative
chanda make gentl nice relat someon life kisi k sahar ki zarort parti ha,1,positive
rahiy sex cool nikah ose phele kise ko hath laga ne ka bhi haq nai hai hume,2,neutral
sub bakwa ha ye apni harkaton se baz nhi ayen ge kisi na kisi fault ko jawaz bana kr ye light band ra,0,negative
x cm shila dixet karn wale feku tum annaji ko b dhokha de diya,1,positive
lekin itn kharab result se kuta bauna harami handsom suvar singh etc ka gussa,0,negative
valuetim valuelif pujya guru ji keht h ki jo insan samya ki kader kart h alasya,1,positive
bsdkk dhruv tyagi ke bare main kitni bar muslim aatankwad bola tune vivek hatyakand ke bad teri zu,0,negative
bharat ka musalman hamesha secular govt k liy vote karta raha hai karta rahega haar jeet 1 sikk k,2,neutral
congress parti ne pehl se feku bhakt media ka agenda samaj liya hote ye chunav nhi hartefeku bhakt media ne fe,0,negative
ghoda ghaan se dosti kar lega khayega kya delhi sarkaar home ministri public ki na,0,negative
real tho tri pay loan introduc whopper loan make purchas bk app cha,1,positive
ph watch btsatwembley make miss sighhh realli hope bts ph miss everyday guy,2,neutral
come first man earlier incid ab ink naam se roti pel raha hai shame,0,negative
need branch ke student ki hai jisas digir india par forc diya ja sake aur corrupt bhi na ho mai shr,2,neutral
aap pichla 5 saal se media ka ghatna kramank ko rewind kark dekhiy jabbi vipaksh ne rule parti ke neeti ke baar,2,neutral
aur bakwa karma aur tv per galat sandesh dena kam hua instead congressi neta aur kar,0,negative
desh aagh baad raha hai ye religion ke naam pe bakwa karna baand karo aur tumhar aap bhaiyon ko bhi shikhao,2,neutral
khan m sad hear veeruji pass away pleasur privileg work veeruji amaz pe,2,neutral
father son papa aaj main night studi ke liy jau ga kitn baje son 10 baje tak haan,1,positive
mohad ham log ko koe dukh nhi hay tumko hay pakistan ja,1,positive
know s late comment tweet wan na say realli miss n,1,positive
mp kamalnath govern ko vote diy ki employ milega pr 6 month ho gye ghanta kuch ni hua na aagey kuch hoga,0,negative
rashid krishna tab tha jab tera allah peda bhi nahi hua,0,negative
show acha chalna chahiy peopl dont care kisko chanc diya kisko nhi jo main h kisliy hai entertain jyada krt,2,neutral
team lathi goli ki sarkar nhi chalegi nhi chalegi,0,negative
chal har gaya ab sudhar ja ki fir se uncl ko harwayega tere jeson ki wajah,2,neutral
777 pak,1,positive
sapna erad untouch poverti sin life,2,neutral
abu kute ki tarah bhonkta jb k ye farishta k cousin ka wo attitud jo tere jese,0,negative
respect pm modi jiii hamar odisha ka educ system ka daityo aparajita sadangi mam ko dene ke,1,positive
kab k uth gye gulshan k karobar bhi chal pare fed dog dish left last night laundri go,0,negative
ff great weekend popat panju,2,neutral
modi chor ko pta tha k evm set ho chuki h aur elect commiss ko inform kr diya gaya h k hme 300 seat chahiy e,0,negative
sir congratul marvel victori seem one ever bother sev,0,negative
make sure becom bootlick exact way allah apk say se masoom ko bachay ameen,0,negative
pahl usko bulao jisn kaha tha notebandi fail hui ap mujh beech chaurah par phansi par latka dena,1,positive
nh l n nh em g stay strong lalisa alway love alwaysstaywithlalisa,2,neutral
hamsab milkar dhundh us teesr ko jo muslim jake hindu bnke aag lagata ya hindu jake muslim bnke aur dono,2,neutral
chutiy ke lodo mna kisn kiya hai orgasm karn ko karo na bhosdi walo agar orgasm nhi ho,0,negative
miss beauti voic amjadsabrishahe allah un k darjaat buland far,1,positive
harekrishna 2024 ke parliament elect hg modi ko koe gali nahi degaphir v modi hi jitega beta jara gali de ke dekh,2,neutral
appn kabhi kisi shahid ke famili ko kabhi bulaya nahi oath ke liy kya comparison kar rahe,0,negative
happiest bday thanku bade bhaiya motiv make great content us,2,neutral
loyal guy allah apko kushiyaan naseeb farmai bhai jan duaon yad rkhna,2,neutral
correct yeh chatukar good meadiagovt k alway kisi bat nahi sunta boycott hona chahiy magar ye,1,positive
kisi ki bhi hatya hona bahut galat hai per ashraf ji jab koi hindu ki maut hoti hai aap tweet ku nahi,1,positive
megha aap sadi ke liy kayo tayar hui jab ki veer se aap bahut payar karti hai koi na koi baat,1,positive
teri maa ki chut behen ke lode teri gand main jor h 15 minut ke liy mil le tujh teri randi maa ke,0,negative
modi ji apko fr ek baar pm bann pr congrat hamar desh ke logo ne jo ye visva banaya hai apk uper visva ko,2,neutral
bhai modi ji ko jeetna hi tha earli wait epic advrtsmnt seri mauka mauka,1,positive
okkkk lovee one favourit person,2,neutral
sir mai allahabad ald se sirathu,1,positive
rubika gandi bata jo andar ko matri banya h bjp ne kya bayan deya h sali haramkhor terei chod,0,negative
ravi shankar ji namaskar wais sabhi jatiyo ne aapko vote diya kuchh ne nahi diya parantu kayasth ne 1,0,negative
jini zindgi guzri jini baki sari ty lant beshumar,1,positive
like zhoom barabar jhoom movi friend,0,negative
wajah se khatana mai bahut jam kah gaya tha waha polic sahi se duti nahi kar rahi th,0,negative
today bday murshid may allah give great health work muslim ummah allah unka,2,neutral
12 listen bhenchod pyaara bachha im fuck happi final gf omg love ill text,0,negative
sir kya apka sharkar aan ke bad bhi muslim safe nhi hain madhay pardesh 23may ko jo video aaya,1,positive
bjp garibo ki parti think everyon congress kisi ki bhi parti nahi think self,2,neutral
meri life mae aik ap apa ke brday ka din ais hota hae js ka muja bht intazar hota ha bcz,2,neutral
naa hum bhult khuda ko naa unhko jo hume allah gift mile unko bhuln wali galiya hum chor aay pich,1,positive
tumhari marzi chhor twitter yehi agar facebook hota na toh tum log chhorn ka socht tak nhi p,1,positive
swami ji karmo ka fal jaroor milta hai chinta na kare apn acch karm kiy apna dha,2,neutral
bro aghar tera dost hota team phir possibl tha umer akmal p,1,positive
bear krishna zoo bear bhai tumara har jagah se kaat gaya hai keep calm start prepar 2024 good luck,2,neutral
bam happi uncl fine hamar bb ke pita ji hey aais hi thodi bimar rehet strong hey uncl,2,neutral
look great stay way jatayuplywoodvisva ka prateek plywood wood plywoodfurnitur woodwork,2,neutral
tum logo ki terah pakistam k logo ka paisa chori ker k harap ker k baher flat mehal nahi khareeday,0,negative
jio ki wajah see log ki waat lgi padi hai choro ab apna profit custom ka paisa chura k nikal rhe ho ghatiya,0,negative
constru tum sabn modi ko vote kyu diya tumh meri naukri ki koi chinta nahi meri,0,negative
haha bomb tree broad day light ask command jo us waqat,1,positive
one last report trip runwal pick strawberri mendozamartha right fun b,1,positive
exclus censor report bharat world class word like movi year best perform sunney ko miley ev,2,neutral
say gaya hear gautam buddha,1,positive
sarfraz khaan aap hamar haqeeqi hero ho aap ne pakistan kay ley apna gar bar dos,2,neutral
aiiiii mera chhotu bacha love ador much mini seem distant week back,2,neutral
dede pyaar de super hit wht ever want bark 12th movi 100 cr club,2,neutral
dear nakko thank best part life thank alway know love hug,2,neutral
n meet love life dear,2,neutral
pain yako mar jao api lar lar ke wo kuti ke bachi hamr dushman tu chata ye k ye larn api,0,negative
yeh desh mein tadi par bhi home minist banta hai aur ek pm,0,negative
tu bhi laat khayeg ek din ab elect aan waala hain sudhar jaa nahi ab teri gaand mein,0,negative
wow bhai aap dono bahut ach lagt ho pls aap dono se request hai shaadi kar lo nice coupl,2,neutral
welfarebydssvolunt dhan dhan satguru tera hi aasra good morn dear papa ji beti ka kaam shuru,2,neutral
ki rightwing ne itni li hae ki bechar ka gussa jayaz hae frustrat soul,2,neutral
bc like kark chodh de,0,negative
modi ji aaj utthey modi ji ne signatur karey modi ji ne aaj saf kurta pyjama pehna gon na b sick,1,positive
bhale teri english thori kachi ha per realli proud bro sarfarazahm,2,neutral
warrior bangesh umair96 25 guy029 2109,1,positive
bjp ko vote muslim mahilaon n purushon ne diy jinko yojnaon ka fayda milaya modi,1,positive
becaus hind isnt indic vand mataram better though jai shri ram anoth emot,1,positive
say han na ghr nae tha sb ko peh best escap point tha,2,neutral
arey bhau iss bar budget kaam hain na lonavla se direct goregaon filmciti mein set laga hain,2,neutral
well done sabir bhai bilkul theak kha app na hamian pakistan main app kasay hi anker chaiya jin ka,1,positive
k miss youuu know see later kraaa ok miss youuuu,1,positive
bahut bahut subhkamna narendramodi sir hum yuva ko aps yahi ummid hai ki ap humar desh ke ujjaw,2,neutral
rahul ji aapka bahut bahut dhanay wad aap congr precid hai aap bahut mehanat kiy good per aap,2,neutral
rassi jal gayi par bal nahi gayi evm par jor nahi chala patrakar ke kapd utaro kuch karna hai,0,negative
true yaaaar load disappoint countri turn ye aisi ch,0,negative
special appeal defeat bjp give anyth like hopeschem etc chutiya kya kam hai desh mein hain,2,neutral
kaoj hmb tiy bie abdallah0 disagre tunda ba money ritual z,1,positive
yaar ye kesi demand ker rahay hou itni mushkil sey manaya hai larkay ko nashay lanay pay,1,positive
allah say night al qadar better thousand month may allah forgiv famili fulfi,2,neutral
maam apko ink jese logo ko jawab nahi dena chay kyu ki inhon humesa aurto ko burkh rk,0,negative
happi birthday ador remark human earth love happybirthdayjenniferwinget,2,neutral
sir rajasthan ki sari recruit process band kark kau berozgaro ko pareshan kar rahe ho 2018,0,negative
yahi sb kro hmare desh ke yuvao ko berojgar krke bjp wale ye postman ka kaam de diy hai sa,0,negative
jo modi ji pe ung utha rahe unh bata du ye pich sarkar ka paap agar abhi convinc nahi hue ne,1,positive
sharma1 bsdk nahi bc koh tumn hamar wali gali seekh li,0,negative
tumhar jaisa besharm ko jab jaanta ne chun tab v hume itna hi dukh hua tha visashyak chuna tha delh,1,positive
dead apun ka naam aa giya akhbaar mein much happi uff,1,positive
wish best jiii,2,neutral
willi love guy alway see without makeup think cute go date like boom yeah,2,neutral
jaan bojh kar nahi haar wc ka apna pressur hota hai haarn ka matlab ye nahi k ga,2,neutral
navjot singh sidhhu ji aapki life itni achhi ja rahi thi aapk commentari ki tarif pura desh karta tha kapil,2,neutral
sharma rofl chai iaf,1,positive
offic prash04 deepika006 snehal,1,positive
v mr feel,1,positive
join us first final friday yoga class book use link bio love see,1,positive
menaka gandhi rahul rajneeti bachhon ka khel nahi hai hum congress mukt bhart ki taraf badh rahe hain gaadi,2,neutral
ali bahi jesi hi jawan ki waja sy armi par jan deni ko dil krta ha ka kabi nai dekha eid jo,2,neutral
kya kahun tumhar baray tu meri jaan hr vheez mein haath agi hai love namjooni,2,neutral
ind kitna murkh banavog janta ko varso se public ko dharm karam ke naam pr murkh banat rahe ho mish,0,negative
aur haan bhadw yeh sun main vote nahi diya thaa main de hi nahi sakta par sach,0,negative
muslim tustikarad hindu virodbhrashtachar public ko bevkuf samajhkar safe jhuthbharat ki sbhya,1,positive
fake news coz yrf itni badi galti ni krga shahrukhkhan ko ab action psnd nhi krgi audi,1,positive
aplogo ne betetctet 201117 walo ka majak banakar,0,negative
tyagi happi birthday aditi tyagi ji bhagvan se prathna karta hu ke apka khudka channel khul jay aur pura di,1,positive
sarkar ko koi kos nhi rha hai ye fe,0,negative
bapa ki 26veen aap sab ko mubarak ho humari mubabbat bapa se aur barh jaati hai jb hum mure e kamil nigran e shoo,1,positive
chub ne kutt ki awlaad tere baap ka nahi hai sale yah india tu ja nepal ag,0,negative
kisi ko mohabbat se dekhna sawaab hai na haan g toh phir mujh sawaab kamaan na 14 year ol,2,neutral
ratia wais gulami ka asli wajah sangh wale nahi batat hong woh hai aapsi dushman,0,negative
lagta ap old age b cross kr chuki han,1,positive
jb tk ais chutiy rheng bharat aag nhi badh skta saal cast ko apn pichhwad daal lo,0,negative
killer sunoo nt know whether s correct news wrong pubg tou mein nai final sai kafi pehlay chor di thi,1,positive
mani thank kind wish lallu ji,2,neutral
owaisi sahab mil ke modi ji se issu haal karn ki koshish kare aap aachr insan lag,2,neutral
beast usk perosn problem h 20 khelna 50 kheln differ h agr whi wc perform nhi kr pata,1,positive
pick weekend anthoni smith volkan oezdimir jimi manuwa chris fishgold damir hadzov sung bin jo serg,1,positive
aksebdkrak neta congress committe ke meat sabhi member ko nay post mileg congress aag badt javo,1,positive
trah ki chawalon se sirf maryam safdar ki calibri hi khush hoskti h,1,positive
bahot bahot badhai nation pm2 term sir jee,1,positive
music life thank chhote ustad salman ali post instagram stori today,1,positive
amethi bjp ka ek pilla mara bjp k neta aur kutti media esko ais dhika rahi thi jais koi cm pm mer gaya hol,0,negative
allah dont worri ramadan time hamari dua allah qubul karthi hon main dua karti hun appki,2,neutral
rahn veri nice ane kill shotlock hard boss congrat,2,neutral
sharma4 tu sharif ladki ho ke aisa copi past karti hai ye koi bhi femal ladi ko shobha nahi deta aur,0,negative
ricardo pat n philip mario ndez mariochalatetorr el chepe ardin,1,positive
org ye dadoo charger ko koi ye batay ke jo banda chay ke sath biscuit nahi deta,1,positive
still far better mms govt u r connect number economi u share,1,positive
gaddar loag bhi ajib hote hain khate hain ghar ki aur help kart hain padoshi ki ye abdulla mehbuba consress ki paidaish hai,0,negative
maker oho ktna pyara lag rha nazr nae marna oye ab,0,negative
didi zyada chota nahi ho gaya aapka ted talk tho serious guy leav fuck alon,2,neutral
exe ntf ek hi toh dil hai asit bhai kitni baar jitog,2,neutral
amen great job thank beaten good,2,neutral
youtub view ko vote samjhn wale agar bar nahi jita kabhi nahi jitega bharat,0,negative
hi brook store usual substitut line main thing sell,0,negative
